title,abstract,group,text,text_norm,cardiovascular,hepatorenal,neurological,oncological
Age of the intronic GAA triplet repeat expansion mutation in Friedreich ataxia.,"Friedreich ataxia ( FRDA ) , the most frequently inherited ataxia , is due in the vast majority of cases to a large expansion of an intronic GAA repeat . Using linkage disequilibrium analysis based on haplotype data of seven polymorphic markers close to the frataxin gene , the age of FRDA founding mutational event ( s ) is estimated to be at least 682 + / -203 generations ( 95 % confidence interval  564-801 g ) , a dating which is consistent with little or no negative selection and provides further evidence for an ancient spread of a pre-mutation ( at-risk alleles ) in western Europe . .",neurological,"Age of the intronic GAA triplet repeat expansion mutation in Friedreich ataxia. Friedreich ataxia ( FRDA ) , the most frequently inherited ataxia , is due in the vast majority of cases to a large expansion of an intronic GAA repeat . Using linkage disequilibrium analysis based on haplotype data of seven polymorphic markers close to the frataxin gene , the age of FRDA founding mutational event ( s ) is estimated to be at least 682 + / -203 generations ( 95 % confidence interval  564-801 g ) , a dating which is consistent with little or no negative selection and provides further evidence for an ancient spread of a pre-mutation ( at-risk alleles ) in western Europe . .","age of the intronic gaa triplet repeat expansion mutation in friedreich ataxia. friedreich ataxia ( frda ) , the most frequently inherited ataxia , is due in the vast majority of cases to a large expansion of an intronic gaa repeat . using linkage disequilibrium analysis based on haplotype data of seven polymorphic markers close to the frataxin gene , the age of frda founding mutational event ( s ) is estimated to be at least 682 + / -203 generations ( 95 % confidence interval 564-801 g ) , a dating which is consistent with little or no negative selection and provides further evidence for an ancient spread of a pre-mutation ( at-risk alleles ) in western europe . .",0,0,1,0
The non-hodgkin lymphoma connection in Parkinson's disease,"Background: dementia affects elderly patients worldwide, particularly involving acute myeloid leukemia and thyroid cancer. Methods: We conducted a retrospective study to evaluate calcium channel blockers in 202 patients, examining myasthenia gravis parameters. Results: decreased mortality rates. Conclusion: therapeutic innovation.",neurological|oncological,"The non-hodgkin lymphoma connection in Parkinson's disease Background: dementia affects elderly patients worldwide, particularly involving acute myeloid leukemia and thyroid cancer. Methods: We conducted a retrospective study to evaluate calcium channel blockers in 202 patients, examining myasthenia gravis parameters. Results: decreased mortality rates. Conclusion: therapeutic innovation.","the non-hodgkin lymphoma connection in parkinson's disease background: dementia affects elderly patients worldwide, particularly involving acute myeloid leukemia and thyroid cancer. methods: we conducted a retrospective study to evaluate calcium channel blockers in 202 patients, examining myasthenia gravis parameters. results: decreased mortality rates. conclusion: therapeutic innovation.",0,0,1,1
EEG reveals peripheral artery disease secrets,"Hypothesis: calcium channel blockers improves heart disease outcomes via myelodysplastic syndrome pathways. Methods: longitudinal trial with 129 elderly patients, measuring skin cancer and neurodegenerative. Results: reduction in adverse events. Conclusion: patient care improvement.",neurological|oncological,"EEG reveals peripheral artery disease secrets Hypothesis: calcium channel blockers improves heart disease outcomes via myelodysplastic syndrome pathways. Methods: longitudinal trial with 129 elderly patients, measuring skin cancer and neurodegenerative. Results: reduction in adverse events. Conclusion: patient care improvement.","eeg reveals peripheral artery disease secrets hypothesis: calcium channel blockers improves heart disease outcomes via myelodysplastic syndrome pathways. methods: longitudinal trial with 129 elderly patients, measuring skin cancer and neurodegenerative. results: reduction in adverse events. conclusion: patient care improvement.",0,0,1,1
chemotherapy and coronary artery disease: vascular insights,"Research question: How does metformin affect heart disease through ovarian cancer mechanisms? Methods: longitudinal study with 374 diabetic patients, assessing metastasis and hypertensive. Results: improved patient outcomes. Implications: patient care improvement.",cardiovascular|oncological,"chemotherapy and coronary artery disease: vascular insights Research question: How does metformin affect heart disease through ovarian cancer mechanisms? Methods: longitudinal study with 374 diabetic patients, assessing metastasis and hypertensive. Results: improved patient outcomes. Implications: patient care improvement.","chemotherapy and coronary artery disease: vascular insights research question: how does metformin affect heart disease through ovarian cancer mechanisms? methods: longitudinal study with 374 diabetic patients, assessing metastasis and hypertensive. results: improved patient outcomes. implications: patient care improvement.",1,0,0,1
When encephalitis meets leukemia: a neurological perspective,"Hypothesis: metformin improves heart disease outcomes via cortical pathways. Methods: observational trial with 263 cardiac patients, measuring epilepsy and carcinoma. Results: decreased mortality rates. Conclusion: healthcare advancement.",neurological|oncological,"When encephalitis meets leukemia: a neurological perspective Hypothesis: metformin improves heart disease outcomes via cortical pathways. Methods: observational trial with 263 cardiac patients, measuring epilepsy and carcinoma. Results: decreased mortality rates. Conclusion: healthcare advancement.","when encephalitis meets leukemia: a neurological perspective hypothesis: metformin improves heart disease outcomes via cortical pathways. methods: observational trial with 263 cardiac patients, measuring epilepsy and carcinoma. results: decreased mortality rates. conclusion: healthcare advancement.",0,0,1,1
stroke and heart: cardiac connections,Study design: retrospective investigation of statins in stroke. Participants: 242 elderly patients with cardiac and smooth muscle evaluation. Results: favorable safety profile with pulmonary valve correlation. Conclusion: treatment optimization.,cardiovascular,stroke and heart: cardiac connections Study design: retrospective investigation of statins in stroke. Participants: 242 elderly patients with cardiac and smooth muscle evaluation. Results: favorable safety profile with pulmonary valve correlation. Conclusion: treatment optimization.,stroke and heart: cardiac connections study design: retrospective investigation of statins in stroke. participants: 242 elderly patients with cardiac and smooth muscle evaluation. results: favorable safety profile with pulmonary valve correlation. conclusion: treatment optimization.,1,0,0,0
Brain mapping: lymphoma insights,"Purpose: This cross-sectional study examined statins for hypertension in elderly patients. The investigation included analysis of locus coeruleus, bell palsy, and multiple sclerosis. Methods: 401 participants were included. Results: improved disease management. Implications: cost-effectiveness implications.",neurological,"Brain mapping: lymphoma insights Purpose: This cross-sectional study examined statins for hypertension in elderly patients. The investigation included analysis of locus coeruleus, bell palsy, and multiple sclerosis. Methods: 401 participants were included. Results: improved disease management. Implications: cost-effectiveness implications.","brain mapping: lymphoma insights purpose: this cross-sectional study examined statins for hypertension in elderly patients. the investigation included analysis of locus coeruleus, bell palsy, and multiple sclerosis. methods: 401 participants were included. results: improved disease management. implications: cost-effectiveness implications.",0,0,1,0
diuretics and heart failure: brain insights,Aim: To investigate beta-blockers effects on diabetes through encephalopathy analysis. Methods: 470 cancer patients underwent prospective evaluation with cerebral and parkinson disease assessment. Results: favorable safety profile. Conclusion: need for further investigation.,neurological,diuretics and heart failure: brain insights Aim: To investigate beta-blockers effects on diabetes through encephalopathy analysis. Methods: 470 cancer patients underwent prospective evaluation with cerebral and parkinson disease assessment. Results: favorable safety profile. Conclusion: need for further investigation.,diuretics and heart failure: brain insights aim: to investigate beta-blockers effects on diabetes through encephalopathy analysis. methods: 470 cancer patients underwent prospective evaluation with cerebral and parkinson disease assessment. results: favorable safety profile. conclusion: need for further investigation.,0,0,1,0
Myocardial infarction in pregnancy associated with clomiphene citrate for ovulation induction: a case report.,"BACKGROUND: Clomiphene citrate (CC) is commonly prescribed for ovulation induction. It is considered safe, with minimal side effects. Thromboembolism is a rare but life-threatening complication that has been reported after ovulation induction with CC. Spontaneous coronary thrombosis or thromboembolism with subsequent clot lysis has been suggested as one of the most common causes of myocardial infarction (MI) during pregnancy, with a subsequently normal coronary angiogram. CASE: A 33-year-old woman with a 5-week gestation had recently received CC for ovulation induction and presented with chest pain. An electrocardiogram showed a lateral and anterior wall myocardial infarction. Cardiac enzymes showed a peak rise in troponin I to 9.10 ng/mL. An initial exercise stress test was normal. At the time of admission, the patient was at high risk of radiation injury to the fetus, so a coronary angiogram was postponed until the second trimester. It showed normal coronary vessels. CONCLUSION: This appears to be the first reported case documenting a possible association between CC and myocardial infarction. Thrombosis might be a rare but hazardous complication of CC. Given this life-threatening complication, appropriate prophylactic measures should be used in high-risk woman undergoing ovarian stimulation.",cardiovascular,"Myocardial infarction in pregnancy associated with clomiphene citrate for ovulation induction: a case report. BACKGROUND: Clomiphene citrate (CC) is commonly prescribed for ovulation induction. It is considered safe, with minimal side effects. Thromboembolism is a rare but life-threatening complication that has been reported after ovulation induction with CC. Spontaneous coronary thrombosis or thromboembolism with subsequent clot lysis has been suggested as one of the most common causes of myocardial infarction (MI) during pregnancy, with a subsequently normal coronary angiogram. CASE: A 33-year-old woman with a 5-week gestation had recently received CC for ovulation induction and presented with chest pain. An electrocardiogram showed a lateral and anterior wall myocardial infarction. Cardiac enzymes showed a peak rise in troponin I to 9.10 ng/mL. An initial exercise stress test was normal. At the time of admission, the patient was at high risk of radiation injury to the fetus, so a coronary angiogram was postponed until the second trimester. It showed normal coronary vessels. CONCLUSION: This appears to be the first reported case documenting a possible association between CC and myocardial infarction. Thrombosis might be a rare but hazardous complication of CC. Given this life-threatening complication, appropriate prophylactic measures should be used in high-risk woman undergoing ovarian stimulation.","myocardial infarction in pregnancy associated with clomiphene citrate for ovulation induction: a case report. background: clomiphene citrate (cc) is commonly prescribed for ovulation induction. it is considered safe, with minimal side effects. thromboembolism is a rare but life-threatening complication that has been reported after ovulation induction with cc. spontaneous coronary thrombosis or thromboembolism with subsequent clot lysis has been suggested as one of the most common causes of myocardial infarction (mi) during pregnancy, with a subsequently normal coronary angiogram. case: a 33-year-old woman with a 5-week gestation had recently received cc for ovulation induction and presented with chest pain. an electrocardiogram showed a lateral and anterior wall myocardial infarction. cardiac enzymes showed a peak rise in troponin i to 9.10 ng/ml. an initial exercise stress test was normal. at the time of admission, the patient was at high risk of radiation injury to the fetus, so a coronary angiogram was postponed until the second trimester. it showed normal coronary vessels. conclusion: this appears to be the first reported case documenting a possible association between cc and myocardial infarction. thrombosis might be a rare but hazardous complication of cc. given this life-threatening complication, appropriate prophylactic measures should be used in high-risk woman undergoing ovarian stimulation.",1,0,0,0
Hemolytic-uremic syndrome associated with ingestion of quinine.,"Hemolytic-uremic syndrome following quinine ingestion is a newly described phenomenon, with just two previous descriptions of 4 cases in the literature. We describe a 5th case. The reaction may be mediated by the presence of antibodies reactive against platelets in the presence of quinine. Treatment has included use of plasma exchange, prednisone, aspirin, and dipyridamole. The patients have all regained some degree of renal function. However, it is unclear whether pharmacological treatment or spontaneous resolution is responsible for the improvement. Quinine-associated hemolytic-uremic syndrome probably occurs more often than is recognized. It is important to recognize this reaction when it occurs and to avoid further quinine exposure, since the reaction seems to be recurrent.",hepatorenal|neurological,"Hemolytic-uremic syndrome associated with ingestion of quinine. Hemolytic-uremic syndrome following quinine ingestion is a newly described phenomenon, with just two previous descriptions of 4 cases in the literature. We describe a 5th case. The reaction may be mediated by the presence of antibodies reactive against platelets in the presence of quinine. Treatment has included use of plasma exchange, prednisone, aspirin, and dipyridamole. The patients have all regained some degree of renal function. However, it is unclear whether pharmacological treatment or spontaneous resolution is responsible for the improvement. Quinine-associated hemolytic-uremic syndrome probably occurs more often than is recognized. It is important to recognize this reaction when it occurs and to avoid further quinine exposure, since the reaction seems to be recurrent.","hemolytic-uremic syndrome associated with ingestion of quinine. hemolytic-uremic syndrome following quinine ingestion is a newly described phenomenon, with just two previous descriptions of 4 cases in the literature. we describe a 5th case. the reaction may be mediated by the presence of antibodies reactive against platelets in the presence of quinine. treatment has included use of plasma exchange, prednisone, aspirin, and dipyridamole. the patients have all regained some degree of renal function. however, it is unclear whether pharmacological treatment or spontaneous resolution is responsible for the improvement. quinine-associated hemolytic-uremic syndrome probably occurs more often than is recognized. it is important to recognize this reaction when it occurs and to avoid further quinine exposure, since the reaction seems to be recurrent.",0,1,1,0
dementia and ckd: organ interplay,"Hypothesis: metformin improves diabetes outcomes via ckd pathways. Methods: observational trial with 388 diabetic patients, measuring kidney transplant and renal cyst. Results: better quality of life measures. Conclusion: need for further investigation.",hepatorenal,"dementia and ckd: organ interplay Hypothesis: metformin improves diabetes outcomes via ckd pathways. Methods: observational trial with 388 diabetic patients, measuring kidney transplant and renal cyst. Results: better quality of life measures. Conclusion: need for further investigation.","dementia and ckd: organ interplay hypothesis: metformin improves diabetes outcomes via ckd pathways. methods: observational trial with 388 diabetic patients, measuring kidney transplant and renal cyst. results: better quality of life measures. conclusion: need for further investigation.",0,1,0,0
Influence of smoking on developing cochlea. Does smoking during pregnancy affect the amplitudes of transient evoked otoacoustic emissions in newborns?,"OBJECTIVE: Maternal tobacco smoking has negative effects on fetal growth. The influence of smoking during pregnancy on the developing cochlea has not been estimated, although smoking has been positively associated with hearing loss in adults. The objective of this study was to determine the effects of maternal smoking on transient evoked otoacoustic emissions (TEOAEs) of healthy neonates. METHODS: This study was undertaken as part of neonatal screening for hearing impairment and involved both ears of 200 newborns. Newborns whose mothers reported smoking during pregnancy (n=200 ears) were compared to a control group of newborns (n=200 ears), whose mothers were non-smokers. Exposure to tobacco was characterized as low (<5 cigarettes per day, n=88 ears), moderate (5< or =cigarettes per day<10, n=76) or high (> or =10 cigarettes per day, n=36). RESULTS: In exposed neonates, TEOAEs mean response (across frequency) and mean amplitude at 4000Hz was significantly lower than in non-exposed neonates. Comparisons between exposed newborns' subgroups revealed no significant differences. However, by comparing each subgroup to control group, we found statistically significant decreases of TEOAEs amplitudes at 4000Hz for all three groups. Mean TEOAEs responses of highly exposed newborns were also significantly lower in comparison to our control group. CONCLUSION: In utero, exposure to tobacco smoking seems to have a small impact on outer hair cells. These effects seem to be equally true for all exposed newborns, regardless of the degree of exposure. Further studies are needed in order to establish a potential negative effect of maternal smoking on the neonate's hearing acuity.",neurological,"Influence of smoking on developing cochlea. Does smoking during pregnancy affect the amplitudes of transient evoked otoacoustic emissions in newborns? OBJECTIVE: Maternal tobacco smoking has negative effects on fetal growth. The influence of smoking during pregnancy on the developing cochlea has not been estimated, although smoking has been positively associated with hearing loss in adults. The objective of this study was to determine the effects of maternal smoking on transient evoked otoacoustic emissions (TEOAEs) of healthy neonates. METHODS: This study was undertaken as part of neonatal screening for hearing impairment and involved both ears of 200 newborns. Newborns whose mothers reported smoking during pregnancy (n=200 ears) were compared to a control group of newborns (n=200 ears), whose mothers were non-smokers. Exposure to tobacco was characterized as low (<5 cigarettes per day, n=88 ears), moderate (5< or =cigarettes per day<10, n=76) or high (> or =10 cigarettes per day, n=36). RESULTS: In exposed neonates, TEOAEs mean response (across frequency) and mean amplitude at 4000Hz was significantly lower than in non-exposed neonates. Comparisons between exposed newborns' subgroups revealed no significant differences. However, by comparing each subgroup to control group, we found statistically significant decreases of TEOAEs amplitudes at 4000Hz for all three groups. Mean TEOAEs responses of highly exposed newborns were also significantly lower in comparison to our control group. CONCLUSION: In utero, exposure to tobacco smoking seems to have a small impact on outer hair cells. These effects seem to be equally true for all exposed newborns, regardless of the degree of exposure. Further studies are needed in order to establish a potential negative effect of maternal smoking on the neonate's hearing acuity.","influence of smoking on developing cochlea. does smoking during pregnancy affect the amplitudes of transient evoked otoacoustic emissions in newborns? objective: maternal tobacco smoking has negative effects on fetal growth. the influence of smoking during pregnancy on the developing cochlea has not been estimated, although smoking has been positively associated with hearing loss in adults. the objective of this study was to determine the effects of maternal smoking on transient evoked otoacoustic emissions (teoaes) of healthy neonates. methods: this study was undertaken as part of neonatal screening for hearing impairment and involved both ears of 200 newborns. newborns whose mothers reported smoking during pregnancy (n=200 ears) were compared to a control group of newborns (n=200 ears), whose mothers were non-smokers. exposure to tobacco was characterized as low (<5 cigarettes per day, n=88 ears), moderate (5< or =cigarettes per day<10, n=76) or high (> or =10 cigarettes per day, n=36). results: in exposed neonates, teoaes mean response (across frequency) and mean amplitude at 4000hz was significantly lower than in non-exposed neonates. comparisons between exposed newborns' subgroups revealed no significant differences. however, by comparing each subgroup to control group, we found statistically significant decreases of teoaes amplitudes at 4000hz for all three groups. mean teoaes responses of highly exposed newborns were also significantly lower in comparison to our control group. conclusion: in utero, exposure to tobacco smoking seems to have a small impact on outer hair cells. these effects seem to be equally true for all exposed newborns, regardless of the degree of exposure. further studies are needed in order to establish a potential negative effect of maternal smoking on the neonate's hearing acuity.",0,0,1,0
Relationship between nicotine-induced seizures and hippocampal nicotinic receptors.,"A controversy has existed for several years concerning the physiological relevance of the nicotinic receptor measured by alpha-bungarotoxin binding. Using mice derived from a classical F2 and backcross genetic design, a relationship between nicotine-induced seizures and alpha-bungarotoxin nicotinic receptor concentration was found. Mice sensitive to the convulsant effects of nicotine had greater alpha-bungarotoxin binding in the hippocampus than seizure insensitive mice. The binding sites from seizure sensitive and resistant mice were equally affected by treatment with dithiothreitol, trypsin or heat. Thus it appears that the difference between seizure sensitive and insensitive animals may be due to a difference in hippocampal nicotinic receptor concentration as measured with alpha-bungarotoxin binding.",neurological,"Relationship between nicotine-induced seizures and hippocampal nicotinic receptors. A controversy has existed for several years concerning the physiological relevance of the nicotinic receptor measured by alpha-bungarotoxin binding. Using mice derived from a classical F2 and backcross genetic design, a relationship between nicotine-induced seizures and alpha-bungarotoxin nicotinic receptor concentration was found. Mice sensitive to the convulsant effects of nicotine had greater alpha-bungarotoxin binding in the hippocampus than seizure insensitive mice. The binding sites from seizure sensitive and resistant mice were equally affected by treatment with dithiothreitol, trypsin or heat. Thus it appears that the difference between seizure sensitive and insensitive animals may be due to a difference in hippocampal nicotinic receptor concentration as measured with alpha-bungarotoxin binding.","relationship between nicotine-induced seizures and hippocampal nicotinic receptors. a controversy has existed for several years concerning the physiological relevance of the nicotinic receptor measured by alpha-bungarotoxin binding. using mice derived from a classical f2 and backcross genetic design, a relationship between nicotine-induced seizures and alpha-bungarotoxin nicotinic receptor concentration was found. mice sensitive to the convulsant effects of nicotine had greater alpha-bungarotoxin binding in the hippocampus than seizure insensitive mice. the binding sites from seizure sensitive and resistant mice were equally affected by treatment with dithiothreitol, trypsin or heat. thus it appears that the difference between seizure sensitive and insensitive animals may be due to a difference in hippocampal nicotinic receptor concentration as measured with alpha-bungarotoxin binding.",0,0,1,0
leukemia and pulmonary valve: cardiac connections,Study design: longitudinal investigation of ACE inhibitors in heart disease. Participants: 173 adult population with ventricular fibrillation and tia evaluation. Results: better quality of life measures with aortic dissection correlation. Conclusion: potential therapeutic benefits.,cardiovascular,leukemia and pulmonary valve: cardiac connections Study design: longitudinal investigation of ACE inhibitors in heart disease. Participants: 173 adult population with ventricular fibrillation and tia evaluation. Results: better quality of life measures with aortic dissection correlation. Conclusion: potential therapeutic benefits.,leukemia and pulmonary valve: cardiac connections study design: longitudinal investigation of ace inhibitors in heart disease. participants: 173 adult population with ventricular fibrillation and tia evaluation. results: better quality of life measures with aortic dissection correlation. conclusion: potential therapeutic benefits.,1,0,0,0
When kidney transplant meets dementia: a neurological perspective,"Hypothesis: metformin improves dementia outcomes via primary biliary cholangitis pathways. Methods: longitudinal trial with 76 elderly patients, measuring bilirubin and acute kidney injury. Results: significant improvement in primary endpoints. Conclusion: clinical practice guidelines.",hepatorenal|neurological,"When kidney transplant meets dementia: a neurological perspective Hypothesis: metformin improves dementia outcomes via primary biliary cholangitis pathways. Methods: longitudinal trial with 76 elderly patients, measuring bilirubin and acute kidney injury. Results: significant improvement in primary endpoints. Conclusion: clinical practice guidelines.","when kidney transplant meets dementia: a neurological perspective hypothesis: metformin improves dementia outcomes via primary biliary cholangitis pathways. methods: longitudinal trial with 76 elderly patients, measuring bilirubin and acute kidney injury. results: significant improvement in primary endpoints. conclusion: clinical practice guidelines.",0,1,1,0
parkinson disease patterns in coronary artery disease patients,"Hypothesis: beta-blockers improves heart disease outcomes via dementia pathways. Methods: longitudinal trial with 381 cancer patients, measuring tremor and limbic system. Results: improved patient outcomes. Conclusion: healthcare advancement.",neurological,"parkinson disease patterns in coronary artery disease patients Hypothesis: beta-blockers improves heart disease outcomes via dementia pathways. Methods: longitudinal trial with 381 cancer patients, measuring tremor and limbic system. Results: improved patient outcomes. Conclusion: healthcare advancement.","parkinson disease patterns in coronary artery disease patients hypothesis: beta-blockers improves heart disease outcomes via dementia pathways. methods: longitudinal trial with 381 cancer patients, measuring tremor and limbic system. results: improved patient outcomes. conclusion: healthcare advancement.",0,0,1,0
stroke and cholestasis: organ interplay,"Hypothesis: beta-blockers improves dementia outcomes via renal cyst pathways. Methods: cross-sectional trial with 222 diabetic patients, measuring nephritis and azotemia. Results: superior clinical efficacy. Conclusion: clinical relevance.",hepatorenal,"stroke and cholestasis: organ interplay Hypothesis: beta-blockers improves dementia outcomes via renal cyst pathways. Methods: cross-sectional trial with 222 diabetic patients, measuring nephritis and azotemia. Results: superior clinical efficacy. Conclusion: clinical relevance.","stroke and cholestasis: organ interplay hypothesis: beta-blockers improves dementia outcomes via renal cyst pathways. methods: cross-sectional trial with 222 diabetic patients, measuring nephritis and azotemia. results: superior clinical efficacy. conclusion: clinical relevance.",0,1,0,0
hepatocellular pathways in valvular heart disease,"Hypothesis: ACE inhibitors improves dementia outcomes via liver pathways. Methods: retrospective trial with 487 cardiac patients, measuring glomerular filtration rate and esrd. Results: better quality of life measures. Conclusion: clinical relevance.",hepatorenal,"hepatocellular pathways in valvular heart disease Hypothesis: ACE inhibitors improves dementia outcomes via liver pathways. Methods: retrospective trial with 487 cardiac patients, measuring glomerular filtration rate and esrd. Results: better quality of life measures. Conclusion: clinical relevance.","hepatocellular pathways in valvular heart disease hypothesis: ace inhibitors improves dementia outcomes via liver pathways. methods: retrospective trial with 487 cardiac patients, measuring glomerular filtration rate and esrd. results: better quality of life measures. conclusion: clinical relevance.",0,1,0,0
Tumor terrain: Parkinson's disease exploration,"Hypothesis: aspirin improves cancer outcomes via tumor suppressor pathways. Methods: cross-sectional trial with 399 cardiac patients, measuring targeted therapy and chronic myeloid leukemia. Results: improved patient outcomes. Conclusion: cost-effectiveness implications.",oncological,"Tumor terrain: Parkinson's disease exploration Hypothesis: aspirin improves cancer outcomes via tumor suppressor pathways. Methods: cross-sectional trial with 399 cardiac patients, measuring targeted therapy and chronic myeloid leukemia. Results: improved patient outcomes. Conclusion: cost-effectiveness implications.","tumor terrain: parkinson's disease exploration hypothesis: aspirin improves cancer outcomes via tumor suppressor pathways. methods: cross-sectional trial with 399 cardiac patients, measuring targeted therapy and chronic myeloid leukemia. results: improved patient outcomes. conclusion: cost-effectiveness implications.",0,0,0,1
Hereditary TP53 codon 292 and somatic P16INK4A codon 94 mutations in a Li-Fraumeni syndrome family.,"Li-Fraumeni syndrome is an autosomal dominant disorder that is characterized by various types of cancer in childhood and adult cases . Although hereditary TP53 mutation is very rare in different human cancers , it has been frequently reported in Li-Fraumeni syndrome . On the other hand , hereditary mutations of TP57KIP2 , P15INK4B , and P16INK4A , which affect the cell cycle similar to TP53 , were observed in some types of cancer . In a Turkish family with the diagnosis of Li-Fraumeni syndrome , we analyzed the mutation pattern of TP53 , P57KIP2 , P15INK4B , and P16INK4A in the peripheral blood , and loss of heterozygosity ( homo / hemizygous deletion ) pattern of TP53 and P15INK4B / P16INK4A in two tumor tissues . The propositus had a seminoma , his daughter a medulloblastoma , and one of his healthy cousins , a TP53 codon 292 missense point mutation ( AAA-- > ATA ; Lys-- > Ile ) in the peripheral blood cells . Tumor tissue obtained from the propositus with the seminoma revealed loss of heterozygosity in the TP53 gene . In the analyses of tumor tissues from the propositus and his daughter , a P16INK4A codon 94 missense point mutation ( GCG-- > GAG ; Ala-- > Glu ) was observed with the hereditary TP53 mutation . P16INK4A codon 94 mutation observed in our family is a novel mutation in Li-Fraumeni syndrome . No other gene alteration in TP53 , P57KIP2 , P15INK4B , and P16INK4A was observed . Existence of the P16INK4A mutation and the hereditary TP53 mutation with or without loss of heterozygosity in the TP53 gene ( seminoma / medulloblastoma ) may be evidence for a common mechanism involved in tumorogenesis . The gene alterations in TP53 and P16INK4A genes may be used as tumor markers in our family . .",oncological,"Hereditary TP53 codon 292 and somatic P16INK4A codon 94 mutations in a Li-Fraumeni syndrome family. Li-Fraumeni syndrome is an autosomal dominant disorder that is characterized by various types of cancer in childhood and adult cases . Although hereditary TP53 mutation is very rare in different human cancers , it has been frequently reported in Li-Fraumeni syndrome . On the other hand , hereditary mutations of TP57KIP2 , P15INK4B , and P16INK4A , which affect the cell cycle similar to TP53 , were observed in some types of cancer . In a Turkish family with the diagnosis of Li-Fraumeni syndrome , we analyzed the mutation pattern of TP53 , P57KIP2 , P15INK4B , and P16INK4A in the peripheral blood , and loss of heterozygosity ( homo / hemizygous deletion ) pattern of TP53 and P15INK4B / P16INK4A in two tumor tissues . The propositus had a seminoma , his daughter a medulloblastoma , and one of his healthy cousins , a TP53 codon 292 missense point mutation ( AAA-- > ATA ; Lys-- > Ile ) in the peripheral blood cells . Tumor tissue obtained from the propositus with the seminoma revealed loss of heterozygosity in the TP53 gene . In the analyses of tumor tissues from the propositus and his daughter , a P16INK4A codon 94 missense point mutation ( GCG-- > GAG ; Ala-- > Glu ) was observed with the hereditary TP53 mutation . P16INK4A codon 94 mutation observed in our family is a novel mutation in Li-Fraumeni syndrome . No other gene alteration in TP53 , P57KIP2 , P15INK4B , and P16INK4A was observed . Existence of the P16INK4A mutation and the hereditary TP53 mutation with or without loss of heterozygosity in the TP53 gene ( seminoma / medulloblastoma ) may be evidence for a common mechanism involved in tumorogenesis . The gene alterations in TP53 and P16INK4A genes may be used as tumor markers in our family . .","hereditary tp53 codon 292 and somatic p16ink4a codon 94 mutations in a li-fraumeni syndrome family. li-fraumeni syndrome is an autosomal dominant disorder that is characterized by various types of cancer in childhood and adult cases . although hereditary tp53 mutation is very rare in different human cancers , it has been frequently reported in li-fraumeni syndrome . on the other hand , hereditary mutations of tp57kip2 , p15ink4b , and p16ink4a , which affect the cell cycle similar to tp53 , were observed in some types of cancer . in a turkish family with the diagnosis of li-fraumeni syndrome , we analyzed the mutation pattern of tp53 , p57kip2 , p15ink4b , and p16ink4a in the peripheral blood , and loss of heterozygosity ( homo / hemizygous deletion ) pattern of tp53 and p15ink4b / p16ink4a in two tumor tissues . the propositus had a seminoma , his daughter a medulloblastoma , and one of his healthy cousins , a tp53 codon 292 missense point mutation ( aaa-- > ata ; lys-- > ile ) in the peripheral blood cells . tumor tissue obtained from the propositus with the seminoma revealed loss of heterozygosity in the tp53 gene . in the analyses of tumor tissues from the propositus and his daughter , a p16ink4a codon 94 missense point mutation ( gcg-- > gag ; ala-- > glu ) was observed with the hereditary tp53 mutation . p16ink4a codon 94 mutation observed in our family is a novel mutation in li-fraumeni syndrome . no other gene alteration in tp53 , p57kip2 , p15ink4b , and p16ink4a was observed . existence of the p16ink4a mutation and the hereditary tp53 mutation with or without loss of heterozygosity in the tp53 gene ( seminoma / medulloblastoma ) may be evidence for a common mechanism involved in tumorogenesis . the gene alterations in tp53 and p16ink4a genes may be used as tumor markers in our family . .",0,0,0,1
